name,main_image_url,detail_image_url,description
리틀 프렌즈 얼굴이 복지고 법이다!,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200422191158_kr.jpg?type=thumb&opt=R329x247@2xa,http://t1.daumcdn.net/friends/prod/editor/893dbce1-a452-408a-937d-891c7928f961.jpg,뭘 좋아할지 몰라 모든 캐릭터를 준비해봤어. 아가아가 귀욤귀욤 리틀프렌즈 중 최애 캐릭터 페이스에 콩나물을 쏘옥- 
볼빵빵 죠르디 또 나왔죨,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200423182721_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/a0e71b6e-e7a4-444a-aef4-db6362f4df7b.jpg,"옴뇸뇸- 볼빵빵 사과 문 죠르디가 셋이나! 에어팟, 프로, 버즈 케이스 신상 지금 당장 구매각이죨. "
촉감천재 등판 대왕말랑 페이스쿠션,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200417101758_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/0c682643-c704-4c2a-be58-7604bc4835a1.jpg,동-그랗고 커-다란 쫀득쫀득 말랑말랑 페이스 쿠션과 어디든 달랑달랑 달고픈 페이스 키링 신상 모음 
프렌즈랑 한잔각!?,https://t1.kakaocdn.net/friends/new_store/prod/main_tab/home/home_20200420103841_kr.jpg?type=thumb&opt=R329x247@2xa,http://t1.daumcdn.net/friends/prod/editor/e1627ac3-94a1-4e79-a389-019de9f917e7.jpg,프렌즈 잔에 따라 마시면 괜히 술이 더 달더라. 비어글래스 & 미니잔 신상 지금 만나보기! 
슬기로운 데스크생활 고속무선충전 패드,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200403155823_kr.jpg?type=thumb&opt=R329x247@2xa,,데스크 효율템 1순위 고속무선충전 마우스 패드로 쾌적하게 업무보기
베이비 프렌즈의 달콤한 꿈나라 이야기,https://t1.kakaocdn.net/friends/new_store/prod/main_tab/home/home_20200406111554_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/0a5b10cb-e433-46fb-9842-823d50cedf86.jpg,베이비 프렌즈가 애착 인형을 꼭 끌어안고 달콤한 잠에 빠졌어요. 꿈 속에서 펼쳐지는 사랑스러운 베이비드리밍 이야기. 
"에어팟부터 버즈까지, 케이스의 모든 것",https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200318181629_kr.jpg?type=thumb&opt=R329x247@2xa,http://t1.daumcdn.net/friends/prod/editor/03f1bb4a-8869-4860-a2c2-03f310057c16.jpg,"오래 기다렸죠? 에어팟부터 에어팟프로, 갤럭시 버즈까지 신상 케이스 겟하고 기분내기! "
집에서 즐기는 카페감성,https://t1.kakaocdn.net/friends/new_store/prod/main_tab/home/home_20200406103338_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/282038ad-80e1-4582-9957-2f0d4c1aff7c.jpg,SNS 속 카페 느낌 그대로- 달달한 프렌즈 음료 & 스낵으로 감성충만 홈카페 완성하기! 
온라인 개강도 꼼꼼히 해피위크 신상과 함께,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200313190811_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/c7c6f47f-41b6-4122-b96a-b3c12b49ccf3.jpg,집에서 해도 충분해! 뽀짝함 뿜뿜 해피위크 추가 입고 신상으로 신나는 온라인 개강 쇼핑하기
프렌즈와 동참해요 사회적 거리 두기!,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200408221724_kr.jpg?type=thumb&opt=R329x247@2xa,http://t1.daumcdn.net/friends/prod/editor/f8c0d15e-c9c9-4044-a434-636b3bc655e9.jpg,우리 조금만 더 노력해요. 사회적 거리 두기 실천으로 감염의 위험은 멀리멀리! 마음만은 가까이서 함께 해요. 
데일리룩을 완성할 프렌즈 삭스,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200401181340_kr.jpg?type=thumb&opt=R335x335@2xa,http://t1.daumcdn.net/friends/prod/editor/172314c3-4ddd-4876-9b63-11859212221a.jpg,
"징하다 징해, 어메이징해! 귀엽고 편한 테크템",https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20191220103329_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/fd19e2c4-0712-47d9-83d8-ecb3229ca96f.jpg,프렌즈 테크템만 있으면 삶의 질 극상! 귀엽고 편하고 혼자 다 하는 베스트 테크템 모음
쫀득말랑 침대위 요물 후드 입은 바디필로우,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200203120210_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/747254fa-27aa-4368-9ff5-170850f2401c.jpg,한 번 써보면 다 아는 침실 꿀템. 쫀득말랑 중독성 최고 후디 바디 필로우 신상 런칭
재택근무 생활백서 어디서나 효율적으로,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200316173759_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/cfb6920b-0d77-484a-97c6-09d5940fe5c1.jpg,사무실 느낌 충만하게 재택근무 하려면? 스마트하고 효율적인 프렌즈템 무장부터!
우리 붕붕이에 신상템 들이기,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200120111917_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/236ade82-9742-4b9d-8178-2fbb633415c8.jpg,"충전기도, 방향제도, 주차번호판도, 내 붕붕이는 귀여운 거 다 해주기 "
"프로방콕러들의 힐링템, 프렌즈 스낵과 워터",https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200213110625_kr.jpg?type=thumb&opt=R335x187@2xa,http://t1.daumcdn.net/friends/prod/editor/d1e0d420-9997-49d8-802f-c558a022325d.jpg,"프로방콕러들에게 매일매일 필요한 것은!? 입이 심심할 때는 프렌즈 스낵 한입, 스낵 한입 먹으면 프렌즈 워터 마시기! "
에어팟 프로 케이스는 귀여움도 프로급,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200120113819_kr.jpg?type=thumb&opt=R329x247@2xa,,나를 침묵의 방으로 인도해주는 소중한 에어팟 프로. 너에게는 프로급 귀여운 케이스가 딱이야!
메가급 귀여움에 폭 안기기,https://t1.kakaocdn.net/friends/prod/main_tab/home/home_20200122101648_kr.jpg?type=thumb&opt=R329x247@2xa,http://t1.daumcdn.net/friends/prod/editor/a8b2c405-feab-4cc9-b828-54b5335cf531.jpg,쫀득함도 말랑함도 귀여움도 사이즈도 메가급! 자꾸만 기대고 싶은 메가 바디필로우 런칭
프렌즈 워터로 건강한 식습관 들이기,https://t1.kakaocdn.net/friends/new_store/prod/main_tab/home/home_20191128103949_kr.jpg?type=thumb&opt=R329x247@2xa,http://t1.daumcdn.net/friends/prod/editor/75ba6e91-6bf1-4b80-af8b-329f56da884f.jpg,"깨끗하고 맑은 생수부터, 향긋한 복숭아 워터, 달콤상큼한 포도워터까지. 프렌즈 워터로 일상의 건강도 놓치지 마세요. "
